,0,Handle,ID,CreatedAt,Location
3674,RT @_nataliemathes_: Race After Technology is so helpful and refreshing and @ruha9 is the coolest https://t.co/vnREfsR61y,Vidmish22,1330354824609738758,2020-11-22 03:38:01,
3675,"RT @genderhealthhub: Gender-Based Violence is on the rise. 

We dedicate this week to analysing how #GBV Response Services can be maintaine…",Vidmish22,1316823455371755524,2020-10-15 19:29:11,
3676,@bressansar @JWI_Berlin Thank you!,Vidmish22,1303106645652918274,2020-09-07 23:03:29,
3677,"Signing off from week 1 of 2021 (phew) with this :)

'The Fourth Industrial Revolution and Its Impact on Ethics' is… https://t.co/GJwl0mZ5yw",Vidmish22,1287387637817409546,2020-07-26 14:01:46,
3678,RT @genderhealthhub: How do gendered differences in access and use of #digital technologies impact #health outcomes in the aftermath of #CO…,Vidmish22,1282861308401115137,2020-07-14 02:15:44,
3679,"RT @genderhealthhub: It is important to catch a moment to relax &amp; rejuvenate as 2021 gradually unfolds 🕯️

Post a picture of https://t.co/W…",Vidmish22,1282827312996786177,2020-07-14 00:00:39,
3680,RT @m_trinkwalder: Trump may no longer be 🇺🇸 President but this shouldn’t stop the 🇪🇺EU from regaining the capacity to defend its own inter…,hagemeier_m,1357386255714115587,2021-02-04 17:51:17,
3681,RT @annflolie: 💡What is your policy utopia?💡Together with the #GMFYTN network and the fantastic @tluetkefend and @bressansar from @bettertt…,hagemeier_m,1357069269822033923,2021-02-03 20:51:41,
3682,"RT @mikercarpenter: Bold, smart, and strategic. This new paper on German-US relations contains some excellent recommendations and is worth…",hagemeier_m,1356411441990004738,2021-02-02 01:17:43,
3683,RT @m_trinkwalder: und hier auf Deutsch: https://t.co/K5mjvAq0Tt,hagemeier_m,1355242388508332036,2021-01-29 19:52:19,
3684,RT @winter_elis: At #TransatlanticTuesdays No.5 we discuss the current situation at the 🇺🇸-🇲🇽 border &amp; how Trump's #migration orders fit in…,hagemeier_m,1355006374313390083,2021-01-29 04:14:29,
3685,"@ismail_kupeli Weiß jemand, ob man in seiner Telegram Gruppe auch vegane Kochrezepte bekommt? 🤔",hagemeier_m,1354802164225486848,2021-01-28 14:43:01,
3686,@RachelRizzo The Sopranos 😉,hagemeier_m,1354545986509692939,2021-01-27 21:45:04,
3687,@JuliusBetschka @Volksbuehne Vielen Dank für Deine Einschätzung!,hagemeier_m,1354527732542169093,2021-01-27 20:32:32,
3688,"@JuliusBetschka @Volksbuehne @JuliusBetschka sehe ich das richtig, dass bei der ‚Zeitung’ Giorgio Agamben mit von d… https://t.co/hlY9STDPF9",hagemeier_m,1354439786098995200,2021-01-27 14:43:03,
3689,"RT @winter_elis: Virtual #TransatlanticTuesdays continues as 🇩🇪🇧🇪🇺🇸-edition: 

How can we make democracies work in times of #COVIDー19? Join…",hagemeier_m,1354077394399850496,2021-01-26 14:43:03,
3690,"RT @VKJudit: In a call between the two foreign ministers, China agreed to supply Italy with 1,000 ventillators and 2 million masks. Additio…",hagemeier_m,1353821207087489024,2021-01-25 21:45:03,
3691,"RT @gmfus: Is the West dead or is it winning? Watch Ivan Krastev and Thomas Kleine-Brockhoff analyze the West, its challenges, and challeng…",hagemeier_m,1353715004898496520,2021-01-25 14:43:02,
3692,"Technically Jackie Weaver didn't have the authority, but she had the power and a yearning for justice. She was the… https://t.co/mkmGFCoErQ",TheRobCollett,1357386255714115587,2021-02-04 17:51:17,
3693,Really pleased to see @LondonCyber showing the good work they do. @AustCyber have a great new website too. Keep sha… https://t.co/pBSAfcF0FW,TheRobCollett,1357069269822033923,2021-02-03 20:51:41,
3694,@pianwallace @State_Cyber Congratulations! Lucky old State Department.,TheRobCollett,1356411441990004738,2021-02-02 01:17:43,
3695,@BylineTV Ian Perkes 2016-2019 told the New York Times and the FT that what Ian Perkes 2021 is saying is nonsense.… https://t.co/A0NJrjsj3g,TheRobCollett,1355242388508332036,2021-01-29 19:52:19,
3696,RT @theGFCE: FINAL CALL for applications📢 There are only 2 days left to apply to join the GFCE Secretariat ⌛️ For more information on our #…,TheRobCollett,1355006374313390083,2021-01-29 04:14:29,
3697,"RT @theGFCE: The GFCE is working w/ @_AfricanUnion &amp; @gatesfoundation ""to develop cyber capacity building knowledge to enable African count…",TheRobCollett,1354802164225486848,2021-01-28 14:43:01,
3698,RT @CybilPortal: Fun fact: 2020 was the year with the highest number of ongoing projects related to #cybersecurity awareness🔐in the Cybil p…,TheRobCollett,1354545986509692939,2021-01-27 21:45:04,
3699,RT @ajohnsocyber: Guidance for partners on recent nation-state cyberattacks https://t.co/q4HD3lej0S,TheRobCollett,1354527732542169093,2021-01-27 20:32:32,
3700,Story summary: Trump administration seeking to defund their non-profit agency that designs apps to help people free… https://t.co/70lXlwKhfs,TheRobCollett,1354439786098995200,2021-01-27 14:43:03,
3701,"RT @ChathamHouseISR: 🚨 JOB OPENING 🚨

➡️ We are looking for a Research Associate:

✅ Expertise in #CyberPolicy
✅ Contribute to our @CHCyber…",TheRobCollett,1354077394399850496,2021-01-26 14:43:03,
